ID,util,times30dpd,dti,bad
16056,"53,20%",1,"13,00%",0
16057,"62,50%",0,"51,00%",0
16058,"4,20%",0,"7,00%",0
16059,"72,20%",0,"14,00%",0
16060,"33,40%",2,"27,00%",1
16061,"3,40%",0,"1,00%",0
16062,"13,10%",0,"21,00%",0
16063,"92,30%",4,"16,00%",1
16064,"60,70%",1,"22,00%",0
16065,"58,80%",1,"70,00%",1
16066,"31,60%",2,"23,00%",0
16067,"47,00%",0,"33,00%",1
16068,"44,70%",0,"32,00%",0
16069,"87,10%",2,"9,00%",1
16070,"45,10%",0,"8,00%",0
16071,"10,00%",0,"56,00%",0
16072,"5,30%",0,"6,00%",0
16073,"3,90%",0,"69,00%",0
16074,"22,80%",1,"12,00%",0
16075,"24,00%",0,"26,00%",1
16076,"0,90%",0,"21,00%",0
16077,"22,40%",4,"19,00%",0
16078,"12,80%",0,"34,00%",0
16079,"26,50%",0,"7,00%",0
16080,"78,10%",1,"56,00%",1
16081,"16,80%",0,"41,00%",0
16082,"35,50%",2,"28,00%",0
16083,"47,30%",0,"52,00%",0
16084,"69,50%",0,"46,00%",0
16085,"4,40%",0,"12,00%",0
16086,"14,50%",1,"54,00%",0
16087,"48,40%",1,"36,00%",0
16088,"6,00%",0,"4,00%",0
16089,"84,70%",1,"32,00%",0
16090,"9,50%",2,"30,00%",0
16091,"12,70%",1,"16,00%",0
16092,"42,80%",0,"36,00%",1
16093,"27,70%",1,"28,00%",0
16094,"36,20%",1,"16,00%",0
16095,"45,40%",0,"2,00%",0
16096,"59,90%",0,"36,00%",0
16097,"77,90%",1,"24,00%",0
16098,"19,50%",1,"7,00%",0
16099,"94,20%",3,"47,00%",1
16100,"14,30%",0,"14,00%",0
16101,"21,60%",2,"18,00%",0
16102,"12,50%",0,"27,00%",0
16103,"2,90%",0,"15,00%",0
16104,"60,60%",1,"30,00%",0
16105,"37,60%",0,"12,00%",0
16106,"50,20%",0,"5,00%",0
16107,"5,30%",0,"25,00%",0
16108,"9,10%",0,"36,00%",0
16109,"83,10%",4,"41,00%",1
16110,"20,10%",1,"37,00%",0
16111,"10,80%",2,"11,00%",0
16112,"79,60%",3,"3,00%",0
16113,"30,00%",0,"28,00%",0
16114,"2,00%",0,"16,00%",0
16115,"61,00%",0,"3,00%",0
16116,"80,70%",2,"14,00%",0
16117,"25,20%",0,"26,00%",0
16118,"79,40%",0,"16,00%",0
16119,"9,90%",0,"4,00%",0
16120,"38,90%",1,"40,00%",1
16121,"9,00%",1,"32,00%",0
16122,"62,70%",0,"8,00%",0
16123,"74,40%",0,"20,00%",0
16124,"15,40%",1,"3,00%",0
16125,"70,40%",2,"29,00%",0
16126,"60,90%",0,"17,00%",1
16127,"9,40%",1,"2,00%",0
16128,"16,10%",0,"4,00%",0
16129,"43,70%",0,"38,00%",0
16130,"18,20%",0,"65,00%",0
16131,"39,10%",0,"57,00%",0
16132,"7,00%",0,"29,00%",0
16133,"29,70%",0,"12,00%",0
16134,"18,00%",0,"31,00%",0
16135,"29,90%",3,"37,00%",0
16136,"75,90%",0,"29,00%",0
16137,"80,70%",3,"35,00%",1
16138,"52,80%",0,"58,00%",0
16139,"40,80%",0,"31,00%",0
16140,"22,20%",0,"23,00%",0
16141,"10,60%",0,"14,00%",0
16142,"34,50%",0,"9,00%",1
16143,"53,30%",1,"33,00%",1
16144,"19,30%",0,"15,00%",0
16145,"1,70%",2,"21,00%",0
16146,"47,80%",0,"3,00%",0
16147,"30,80%",0,"14,00%",0
16148,"23,80%",0,"23,00%",0
16149,"1,10%",0,"9,00%",0
16150,"80,00%",0,"34,00%",1
16151,"14,50%",0,"29,00%",0
16152,"74,30%",2,"57,00%",0
16153,"73,00%",1,"8,00%",0
16154,"5,70%",0,"42,00%",0
16155,"22,40%",0,"20,00%",0
16156,"27,80%",0,"43,00%",1
16157,"57,10%",2,"41,00%",1
16158,"55,80%",0,"25,00%",0
16159,"21,20%",0,"50,00%",0
16160,"12,30%",1,"14,00%",0
16161,"78,30%",4,"27,00%",0
16162,"60,60%",0,"39,00%",1
16163,"5,80%",0,"16,00%",0
16164,"90,20%",2,"45,00%",1
16165,"18,30%",0,"22,00%",0
16166,"21,20%",0,"26,00%",0
16167,"49,80%",0,"28,00%",0
16168,"47,10%",1,"32,00%",0
16169,"85,00%",0,"10,00%",0
16170,"6,30%",0,"23,00%",0
16171,"6,60%",0,"15,00%",0
16172,"56,70%",0,"32,00%",0
16173,"37,10%",0,"28,00%",0
16174,"57,30%",1,"18,00%",1
16175,"56,20%",2,"24,00%",0
16176,"83,00%",2,"24,00%",0
16177,"16,50%",1,"21,00%",1
16178,"20,90%",0,"20,00%",0
16179,"46,80%",2,"4,00%",0
16180,"79,10%",1,"24,00%",0
16181,"35,70%",0,"21,00%",0
16182,"62,00%",0,"20,00%",0
16183,"27,90%",0,"11,00%",0
16184,"19,80%",1,"18,00%",0
16185,"8,00%",0,"21,00%",0
16186,"37,60%",1,"24,00%",1
16187,"88,40%",1,"36,00%",0
16188,"2,00%",0,"10,00%",0
16189,"22,20%",0,"52,00%",0
16190,"27,00%",0,"27,00%",0
16191,"1,70%",0,"15,00%",0
16192,"79,20%",4,"73,00%",1
16193,"11,30%",1,"19,00%",0
16194,"27,10%",1,"18,00%",0
16195,"10,20%",0,"24,00%",0
16196,"78,50%",0,"24,00%",0
16197,"5,60%",0,"0,00%",0
16198,"56,80%",0,"20,00%",0
16199,"46,30%",1,"20,00%",0
16200,"10,30%",0,"1,00%",0
16201,"55,40%",0,"34,00%",0
16202,"11,00%",2,"14,00%",0
16203,"56,50%",1,"35,00%",0
16204,"3,90%",0,"28,00%",0
16205,"36,60%",0,"27,00%",0
16206,"8,70%",2,"11,00%",0
16207,"1,00%",0,"27,00%",0
16208,"26,90%",3,"30,00%",1
16209,"80,60%",0,"2,00%",0
16210,"92,30%",3,"68,00%",1
16211,"4,60%",0,"46,00%",1
16212,"29,60%",0,"21,00%",0
16213,"20,80%",1,"56,00%",1
16214,"19,60%",0,"26,00%",0
16215,"92,40%",6,"17,00%",0
16216,"22,80%",0,"4,00%",0
16217,"3,50%",0,"1,00%",0
16218,"17,80%",0,"10,00%",0
16219,"41,30%",1,"7,00%",0
16220,"31,60%",0,"3,00%",0
16221,"65,50%",0,"70,00%",1
16222,"27,40%",0,"38,00%",0
16223,"24,50%",0,"20,00%",0
16224,"66,70%",0,"48,00%",0
16225,"15,00%",1,"25,00%",0
16226,"34,90%",0,"36,00%",0
16227,"25,50%",0,"22,00%",0
16228,"0,10%",0,"30,00%",0
16229,"13,00%",0,"22,00%",0
16230,"78,80%",0,"25,00%",0
16231,"36,40%",0,"6,00%",0
16232,"48,00%",0,"39,00%",0
16233,"9,30%",0,"13,00%",0
16234,"58,70%",0,"49,00%",0
16235,"55,00%",0,"8,00%",0
16236,"32,80%",0,"5,00%",0
16237,"52,70%",0,"40,00%",1
16238,"6,40%",1,"65,00%",0
16239,"54,40%",2,"20,00%",1
16240,"70,10%",0,"35,00%",1
16241,"60,40%",1,"14,00%",0
16242,"74,80%",0,"43,00%",0
16243,"3,00%",0,"5,00%",0
16244,"5,00%",0,"27,00%",0
16245,"60,70%",2,"42,00%",0
16246,"73,50%",1,"0,00%",0
16247,"60,50%",0,"37,00%",1
16248,"69,40%",1,"15,00%",0
16249,"27,30%",0,"17,00%",0
16250,"6,90%",0,"2,00%",0
16251,"50,20%",1,"5,00%",0
16252,"69,60%",0,"31,00%",0
16253,"57,30%",0,"21,00%",0
16254,"7,40%",0,"12,00%",0
16255,"11,60%",0,"40,00%",0
16256,"55,90%",0,"32,00%",0
16257,"49,50%",0,"41,00%",0
16258,"45,70%",0,"42,00%",0
16259,"47,60%",0,"34,00%",0
16260,"71,50%",2,"33,00%",1
16261,"6,90%",0,"32,00%",0
16262,"23,20%",1,"19,00%",0
16263,"9,20%",0,"1,00%",0
16264,"18,90%",2,"10,00%",0
16265,"14,70%",0,"25,00%",0
16266,"37,00%",0,"13,00%",0
16267,"85,60%",0,"26,00%",0
16268,"69,50%",2,"11,00%",0
16269,"41,60%",0,"32,00%",0
16270,"0,20%",0,"5,00%",0
16271,"19,60%",0,"31,00%",0
16272,"29,00%",0,"34,00%",0
16273,"82,00%",3,"37,00%",0
16274,"28,30%",0,"10,00%",0
16275,"13,20%",2,"32,00%",1
16276,"23,10%",0,"25,00%",0
16277,"48,20%",0,"38,00%",1
16278,"7,60%",1,"3,00%",0
16279,"4,30%",0,"14,00%",0
16280,"20,80%",1,"3,00%",0
16281,"43,20%",1,"41,00%",0
16282,"5,60%",0,"28,00%",0
16283,"9,40%",0,"1,00%",0
16284,"24,90%",0,"12,00%",0
16285,"32,70%",0,"54,00%",0
16286,"1,60%",0,"7,00%",0
16287,"5,00%",0,"16,00%",0
16288,"6,30%",0,"10,00%",0
16289,"64,60%",2,"21,00%",0
16290,"62,70%",2,"45,00%",1
16291,"19,80%",0,"4,00%",0
16292,"12,10%",0,"40,00%",0
16293,"44,20%",3,"70,00%",1
16294,"74,90%",1,"64,00%",0
16295,"0,10%",0,"39,00%",0
16296,"8,10%",0,"21,00%",0
16297,"1,70%",0,"6,00%",0
16298,"55,70%",0,"23,00%",0
16299,"81,70%",3,"40,00%",1
16300,"10,50%",0,"8,00%",0
16301,"32,80%",0,"16,00%",0
16302,"11,80%",0,"2,00%",0
16303,"56,20%",0,"20,00%",0
16304,"71,80%",0,"38,00%",1
16305,"58,00%",2,"7,00%",0
16306,"61,60%",3,"32,00%",0
16307,"51,20%",0,"15,00%",0
16308,"78,10%",2,"48,00%",1
16309,"38,20%",2,"52,00%",1
16310,"14,10%",1,"14,00%",0
16311,"65,20%",0,"3,00%",0
16312,"4,90%",0,"27,00%",0
16313,"33,30%",0,"27,00%",0
16314,"55,30%",0,"19,00%",0
16315,"25,70%",0,"9,00%",0
16316,"69,30%",0,"30,00%",0
16317,"64,20%",0,"19,00%",1
16318,"7,30%",0,"10,00%",0
16319,"52,70%",0,"48,00%",1
16320,"19,20%",0,"11,00%",0
16321,"4,50%",0,"26,00%",0
16322,"40,20%",2,"42,00%",1
16323,"43,00%",0,"5,00%",0
16324,"65,90%",1,"11,00%",0
16325,"65,10%",0,"38,00%",0
16326,"7,90%",3,"27,00%",1
16327,"19,80%",0,"13,00%",0
16328,"4,00%",0,"7,00%",0
16329,"55,60%",1,"25,00%",0
16330,"5,10%",0,"3,00%",0
16331,"6,40%",0,"36,00%",0
16332,"40,10%",0,"32,00%",0
16333,"13,00%",0,"7,00%",0
16334,"91,00%",1,"54,00%",1
16335,"34,30%",0,"18,00%",1
16336,"28,60%",2,"34,00%",0
16337,"42,00%",2,"38,00%",0
16338,"14,20%",0,"23,00%",0
16339,"3,50%",0,"34,00%",0
16340,"8,70%",0,"17,00%",0
16341,"39,70%",0,"22,00%",0
16342,"3,30%",0,"17,00%",0
16343,"66,10%",1,"43,00%",1
16344,"74,40%",1,"7,00%",0
16345,"65,10%",0,"53,00%",1
16346,"44,90%",0,"32,00%",1
16347,"34,20%",5,"37,00%",1
16348,"54,50%",1,"34,00%",0
16349,"36,80%",0,"3,00%",0
16350,"33,20%",1,"5,00%",0
16351,"73,30%",1,"67,00%",0
16352,"15,90%",0,"63,00%",0
16353,"50,80%",2,"32,00%",0
16354,"58,70%",2,"28,00%",1
16355,"60,10%",0,"11,00%",1
16356,"45,80%",0,"30,00%",0
16357,"7,70%",0,"43,00%",0
16358,"38,30%",1,"9,00%",0
16359,"40,80%",2,"23,00%",0
16360,"27,40%",0,"37,00%",0
16361,"41,40%",2,"18,00%",0
16362,"58,40%",1,"4,00%",0
16363,"2,00%",0,"3,00%",0
16364,"3,20%",0,"1,00%",0
16365,"28,00%",0,"20,00%",0
16366,"14,30%",1,"42,00%",0
16367,"22,40%",4,"23,00%",0
16368,"44,20%",3,"28,00%",0
16369,"33,20%",0,"10,00%",0
16370,"23,00%",0,"34,00%",0
16371,"25,00%",0,"47,00%",0
16372,"53,00%",1,"41,00%",0
16373,"8,80%",0,"49,00%",0
16374,"28,00%",0,"47,00%",1
16375,"72,30%",0,"19,00%",0
16376,"55,80%",2,"80,00%",1
16377,"68,30%",0,"2,00%",0
16378,"47,10%",0,"3,00%",0
16379,"58,10%",0,"40,00%",1
16380,"16,90%",0,"14,00%",0
16381,"73,30%",0,"10,00%",0
16382,"14,50%",0,"11,00%",0
16383,"15,40%",0,"17,00%",0
16384,"83,10%",0,"35,00%",0
16385,"49,10%",1,"42,00%",0
16386,"29,60%",0,"21,00%",0
16387,"12,60%",0,"8,00%",0
16388,"15,10%",0,"51,00%",0
16389,"58,30%",0,"15,00%",0
16390,"42,80%",0,"20,00%",0
16391,"63,80%",3,"32,00%",0
16392,"16,90%",1,"14,00%",0
16393,"64,40%",1,"57,00%",1
16394,"3,20%",0,"10,00%",0
16395,"7,40%",0,"3,00%",0
16396,"75,00%",2,"53,00%",1
16397,"85,90%",2,"30,00%",0
16398,"56,60%",3,"49,00%",0
16399,"7,70%",0,"8,00%",0
16400,"22,50%",0,"5,00%",0
16401,"31,70%",0,"19,00%",0
16402,"92,20%",1,"38,00%",1
16403,"16,20%",0,"6,00%",0
16404,"50,60%",0,"20,00%",0
16405,"14,00%",0,"22,00%",0
16406,"43,00%",2,"33,00%",1
16407,"11,70%",1,"20,00%",0
16408,"65,10%",1,"26,00%",0
16409,"17,00%",1,"28,00%",0
16410,"37,20%",2,"10,00%",0
16411,"23,90%",0,"20,00%",0
16412,"27,60%",3,"43,00%",1
16413,"59,40%",0,"10,00%",1
16414,"59,10%",3,"12,00%",1
16415,"16,30%",0,"13,00%",0
16416,"35,20%",0,"36,00%",1
16417,"13,80%",0,"43,00%",0
16418,"62,20%",3,"8,00%",1
16419,"15,20%",0,"11,00%",0
16420,"60,60%",1,"55,00%",1
16421,"10,30%",1,"23,00%",0
16422,"9,70%",1,"5,00%",0
16423,"24,20%",0,"41,00%",0
16424,"71,60%",0,"9,00%",0
16425,"54,30%",2,"30,00%",0
16426,"75,10%",2,"34,00%",0
16427,"13,60%",3,"49,00%",0
16428,"4,80%",0,"16,00%",0
16429,"77,70%",5,"61,00%",1
16430,"87,10%",0,"15,00%",0
16431,"2,70%",0,"20,00%",0
16432,"32,40%",0,"22,00%",0
16433,"20,60%",1,"19,00%",0
16434,"44,70%",1,"6,00%",0
16435,"30,30%",0,"56,00%",1
16436,"88,70%",1,"35,00%",0
16437,"43,30%",1,"34,00%",1
16438,"1,20%",0,"13,00%",0
16439,"19,50%",0,"37,00%",0
16440,"9,30%",0,"4,00%",0
16441,"25,80%",0,"35,00%",0
16442,"21,10%",0,"2,00%",0
16443,"74,10%",3,"43,00%",0
16444,"4,70%",2,"8,00%",0
16445,"78,90%",0,"17,00%",0
16446,"66,60%",0,"25,00%",0
16447,"19,50%",0,"7,00%",0
16448,"7,30%",0,"10,00%",0
16449,"53,00%",2,"33,00%",0
16450,"11,50%",0,"10,00%",0
16451,"58,30%",2,"51,00%",1
16452,"50,70%",0,"55,00%",1
16453,"73,30%",0,"5,00%",0
16454,"76,60%",0,"37,00%",0
16455,"55,30%",2,"9,00%",0
16456,"8,70%",0,"29,00%",0
16457,"2,10%",0,"65,00%",0
16458,"48,40%",1,"54,00%",1
16459,"73,30%",0,"26,00%",0
16460,"10,30%",0,"21,00%",0
16461,"68,60%",1,"14,00%",0
16462,"50,80%",2,"10,00%",0
16463,"88,50%",0,"0,00%",0
16464,"71,40%",2,"23,00%",1
16465,"72,00%",1,"51,00%",1
16466,"64,30%",3,"1,00%",0
16467,"76,50%",1,"53,00%",1
16468,"37,40%",1,"61,00%",1
16469,"40,00%",0,"18,00%",0
16470,"6,10%",0,"8,00%",0
16471,"53,60%",0,"17,00%",0
16472,"84,20%",2,"42,00%",1
16473,"22,10%",0,"53,00%",0
16474,"14,90%",0,"14,00%",0
16475,"75,60%",0,"43,00%",0
16476,"30,20%",0,"13,00%",0
16477,"65,00%",0,"22,00%",0
16478,"77,10%",0,"36,00%",0
16479,"10,70%",0,"37,00%",0
16480,"7,80%",0,"62,00%",0
16481,"5,70%",0,"19,00%",0
16482,"38,20%",0,"2,00%",0
16483,"75,80%",0,"29,00%",0
16484,"7,70%",0,"20,00%",0
16485,"6,60%",0,"15,00%",0
16486,"82,60%",3,"40,00%",1
16487,"84,10%",2,"37,00%",0
16488,"95,10%",2,"19,00%",0
16489,"14,80%",0,"37,00%",0
16490,"42,60%",1,"37,00%",0
16491,"67,90%",0,"26,00%",0
16492,"31,30%",2,"39,00%",0
16493,"5,00%",0,"7,00%",0
16494,"86,50%",1,"38,00%",1
16495,"51,50%",1,"2,00%",0
16496,"51,20%",1,"5,00%",0
16497,"1,20%",1,"32,00%",0
16498,"1,30%",0,"2,00%",0
16499,"51,90%",1,"27,00%",0
16500,"23,60%",1,"37,00%",0
16501,"15,10%",0,"66,00%",0
16502,"83,00%",3,"24,00%",0
16503,"19,80%",0,"74,00%",1
16504,"9,80%",4,"40,00%",0
16505,"19,50%",0,"7,00%",0
16506,"5,60%",0,"36,00%",0
16507,"17,80%",1,"13,00%",0
16508,"29,00%",0,"29,00%",0
16509,"52,00%",1,"37,00%",0
16510,"2,20%",0,"46,00%",0
16511,"85,90%",0,"59,00%",0
16512,"44,10%",0,"27,00%",0
16513,"15,70%",0,"29,00%",0
16514,"59,60%",3,"37,00%",1
16515,"54,20%",0,"11,00%",0
16516,"5,90%",1,"32,00%",0
16517,"22,60%",1,"17,00%",0
16518,"0,90%",0,"13,00%",0
16519,"5,60%",1,"36,00%",0
16520,"5,90%",0,"39,00%",0
16521,"16,00%",0,"8,00%",0
16522,"70,70%",2,"36,00%",1
16523,"15,60%",0,"14,00%",0
16524,"70,20%",3,"56,00%",1
16525,"9,90%",0,"34,00%",0
16526,"31,20%",0,"22,00%",0
16527,"16,50%",0,"9,00%",0
16528,"1,80%",0,"20,00%",0
16529,"75,80%",1,"31,00%",0
16530,"61,30%",0,"23,00%",0
16531,"70,00%",0,"27,00%",0
16532,"65,00%",0,"32,00%",0
16533,"9,90%",0,"4,00%",0
16534,"5,90%",0,"17,00%",0
16535,"28,40%",0,"30,00%",0
16536,"19,40%",0,"7,00%",0
16537,"43,00%",2,"8,00%",0
16538,"93,90%",2,"42,00%",0
16539,"70,90%",3,"58,00%",1
16540,"2,00%",0,"11,00%",0
16541,"9,30%",0,"6,00%",0
16542,"4,00%",0,"34,00%",0
16543,"7,80%",0,"39,00%",0
16544,"33,40%",1,"21,00%",0
16545,"71,40%",0,"19,00%",0
16546,"19,20%",0,"29,00%",0
16547,"13,20%",1,"28,00%",0
16548,"46,30%",0,"19,00%",0
16549,"99,90%",4,"40,00%",0
16550,"28,60%",0,"24,00%",0
16551,"11,60%",0,"14,00%",0
16552,"18,20%",0,"34,00%",0
16553,"61,20%",0,"26,00%",0
16554,"12,40%",0,"31,00%",0
16555,"47,30%",3,"31,00%",1
16556,"54,10%",1,"37,00%",0
16557,"27,50%",0,"42,00%",0
16558,"58,30%",3,"32,00%",1
16559,"41,10%",0,"45,00%",0
16560,"31,70%",2,"5,00%",0
16561,"22,60%",1,"20,00%",1
16562,"23,90%",0,"3,00%",0
16563,"3,40%",0,"28,00%",0
16564,"53,70%",1,"77,00%",1
16565,"79,70%",2,"67,00%",1
16566,"94,80%",1,"31,00%",1
16567,"37,80%",1,"67,00%",0
16568,"26,40%",0,"21,00%",0
16569,"54,30%",0,"18,00%",0
16570,"4,00%",0,"9,00%",0
16571,"11,40%",2,"21,00%",0
16572,"7,10%",0,"18,00%",0
16573,"55,20%",1,"34,00%",0
16574,"56,20%",0,"37,00%",0
16575,"41,20%",0,"10,00%",0
16576,"83,10%",3,"20,00%",1
16577,"12,70%",1,"30,00%",0
16578,"73,30%",0,"38,00%",1
16579,"16,40%",1,"35,00%",1
16580,"77,90%",2,"15,00%",1
16581,"20,60%",0,"41,00%",0
16582,"2,30%",2,"15,00%",1
16583,"32,20%",0,"61,00%",0
16584,"26,40%",1,"32,00%",0
16585,"66,90%",2,"46,00%",0
16586,"52,50%",0,"6,00%",0
16587,"100,00%",2,"47,00%",1
16588,"85,30%",3,"20,00%",1
16589,"14,00%",0,"70,00%",1
16590,"11,60%",0,"14,00%",0
16591,"53,00%",1,"46,00%",1
16592,"24,00%",1,"38,00%",1
16593,"25,00%",0,"23,00%",1
16594,"2,00%",0,"15,00%",0
16595,"4,20%",0,"16,00%",0
16596,"4,80%",0,"39,00%",0
16597,"53,00%",1,"9,00%",0
16598,"32,60%",1,"28,00%",0
16599,"5,70%",0,"3,00%",0
16600,"39,10%",1,"25,00%",0
16601,"9,90%",0,"26,00%",0
16602,"27,20%",3,"6,00%",0
16603,"3,90%",0,"10,00%",0
16604,"22,10%",0,"4,00%",0
16605,"10,50%",0,"22,00%",0
16606,"92,80%",2,"48,00%",1
16607,"40,10%",2,"25,00%",1
16608,"80,70%",2,"30,00%",1
16609,"61,70%",1,"26,00%",0
16610,"47,70%",0,"36,00%",0
16611,"45,00%",2,"19,00%",0
16612,"11,70%",1,"26,00%",0
16613,"72,30%",0,"39,00%",1
16614,"56,00%",1,"20,00%",0
16615,"31,80%",1,"26,00%",0
16616,"53,60%",0,"31,00%",0
16617,"54,70%",1,"26,00%",0
16618,"3,10%",0,"30,00%",0
16619,"55,80%",0,"20,00%",0
16620,"22,70%",1,"5,00%",0
16621,"53,40%",0,"42,00%",0
16622,"15,80%",0,"19,00%",0
16623,"5,80%",0,"30,00%",0
16624,"79,00%",1,"30,00%",0
16625,"72,40%",4,"21,00%",1
16626,"62,40%",3,"38,00%",1
16627,"69,00%",1,"28,00%",0
16628,"7,20%",0,"18,00%",0
16629,"39,60%",1,"32,00%",0
16630,"49,70%",2,"47,00%",1
16631,"13,20%",0,"26,00%",0
16632,"38,30%",0,"24,00%",0
16633,"33,50%",0,"16,00%",0
16634,"55,80%",0,"65,00%",0
16635,"70,10%",1,"34,00%",0
16636,"25,30%",0,"16,00%",0
16637,"75,30%",2,"24,00%",0
16638,"64,20%",1,"4,00%",1
16639,"5,30%",0,"24,00%",0
16640,"33,20%",0,"28,00%",0
16641,"14,30%",1,"36,00%",1
16642,"85,30%",0,"37,00%",0
16643,"4,30%",0,"22,00%",0
16644,"14,80%",0,"3,00%",0
16645,"98,20%",2,"30,00%",1
16646,"19,00%",0,"43,00%",0
16647,"40,40%",0,"20,00%",0
16648,"22,80%",1,"12,00%",0
16649,"74,90%",1,"32,00%",0
16650,"73,70%",1,"29,00%",1
16651,"31,70%",2,"18,00%",0
16652,"9,70%",0,"7,00%",0
16653,"19,30%",0,"70,00%",1
16654,"60,80%",0,"16,00%",0
16655,"44,60%",1,"42,00%",0
16656,"31,20%",0,"19,00%",0
16657,"41,80%",0,"24,00%",1
16658,"15,30%",1,"17,00%",0
16659,"55,10%",2,"12,00%",0
16660,"6,10%",0,"22,00%",0
16661,"57,60%",0,"8,00%",0
16662,"54,80%",2,"13,00%",0
16663,"18,10%",2,"6,00%",0
16664,"30,50%",1,"57,00%",0
16665,"8,80%",1,"34,00%",0
16666,"61,50%",1,"52,00%",0
16667,"4,80%",2,"26,00%",0
16668,"19,80%",2,"4,00%",0
16669,"14,90%",0,"5,00%",0
16670,"24,40%",0,"51,00%",0
16671,"21,70%",0,"10,00%",0
16672,"23,70%",2,"0,00%",0
16673,"65,60%",0,"19,00%",0
16674,"34,80%",0,"3,00%",0
16675,"74,00%",0,"14,00%",0
16676,"7,30%",0,"55,00%",0
16677,"57,90%",0,"20,00%",0
16678,"27,40%",2,"10,00%",0
16679,"0,40%",0,"16,00%",0
16680,"98,90%",3,"27,00%",1
16681,"4,20%",0,"25,00%",0
16682,"76,80%",0,"34,00%",0
16683,"19,20%",0,"33,00%",0
16684,"32,30%",0,"28,00%",0
16685,"58,00%",1,"32,00%",0
16686,"9,00%",1,"6,00%",0
16687,"71,30%",1,"18,00%",0
16688,"37,20%",2,"4,00%",0
16689,"7,90%",0,"25,00%",0
16690,"82,90%",3,"33,00%",0
16691,"80,50%",1,"8,00%",1
16692,"36,70%",0,"8,00%",0
16693,"32,40%",0,"46,00%",0
16694,"4,30%",0,"30,00%",0
16695,"77,60%",1,"51,00%",1
16696,"13,20%",2,"27,00%",0
16697,"56,70%",1,"24,00%",1
16698,"1,40%",0,"34,00%",0
16699,"19,20%",0,"3,00%",0
16700,"59,90%",0,"17,00%",0
16701,"39,50%",0,"74,00%",1
16702,"36,90%",2,"30,00%",0
16703,"27,10%",0,"3,00%",0
16704,"0,50%",0,"24,00%",0
16705,"48,20%",0,"3,00%",0
16706,"6,70%",0,"16,00%",0
16707,"22,30%",0,"34,00%",0
16708,"4,10%",4,"2,00%",0
16709,"83,80%",0,"43,00%",0
16710,"6,00%",1,"44,00%",0
16711,"94,70%",2,"48,00%",1
16712,"75,30%",3,"27,00%",0
16713,"62,90%",1,"29,00%",0
16714,"25,30%",0,"33,00%",0
16715,"33,60%",0,"39,00%",0
16716,"23,00%",1,"56,00%",0
16717,"29,30%",2,"26,00%",0
16718,"70,60%",0,"37,00%",0
16719,"78,10%",0,"42,00%",0
16720,"55,10%",2,"20,00%",0
16721,"55,70%",0,"21,00%",0
16722,"0,40%",0,"33,00%",0
16723,"59,50%",2,"41,00%",0
16724,"12,00%",0,"48,00%",0
16725,"3,90%",1,"39,00%",1
16726,"58,80%",0,"32,00%",0
16727,"27,90%",0,"11,00%",0
16728,"5,30%",2,"24,00%",0
16729,"52,10%",0,"27,00%",0
16730,"89,10%",1,"39,00%",0
16731,"85,10%",3,"27,00%",1
16732,"74,80%",0,"37,00%",0
16733,"74,00%",0,"19,00%",0
16734,"53,30%",2,"21,00%",1
16735,"31,30%",0,"28,00%",0
16736,"20,50%",0,"4,00%",0
16737,"77,80%",0,"27,00%",1
16738,"88,10%",0,"16,00%",0
16739,"12,30%",0,"19,00%",0
16740,"26,40%",3,"26,00%",0
16741,"83,40%",0,"36,00%",0
16742,"7,40%",0,"19,00%",0
16743,"26,80%",1,"20,00%",0
16744,"4,00%",0,"43,00%",0
16745,"22,00%",1,"13,00%",0
16746,"57,20%",1,"7,00%",0
16747,"34,00%",0,"27,00%",0
16748,"62,10%",0,"33,00%",1
16749,"9,60%",0,"12,00%",0
16750,"64,30%",1,"60,00%",0
16751,"12,10%",1,"18,00%",0
16752,"18,70%",0,"4,00%",0
16753,"12,20%",1,"26,00%",0
16754,"91,50%",3,"48,00%",1
16755,"56,60%",0,"19,00%",0
16756,"30,90%",0,"21,00%",0
16757,"65,60%",0,"1,00%",0
16758,"63,30%",0,"34,00%",1
16759,"59,50%",0,"19,00%",0
16760,"78,20%",2,"16,00%",0
16761,"9,40%",0,"0,00%",0
16762,"30,30%",0,"44,00%",0
16763,"53,90%",0,"17,00%",1
16764,"59,10%",0,"35,00%",0
16765,"10,70%",0,"28,00%",0
16766,"63,60%",2,"29,00%",0
16767,"0,70%",0,"29,00%",0
16768,"84,00%",2,"60,00%",1
16769,"38,70%",1,"33,00%",0
16770,"6,60%",2,"24,00%",0
16771,"19,40%",0,"0,00%",0
16772,"60,10%",0,"19,00%",0
16773,"6,20%",0,"32,00%",0
16774,"82,30%",4,"29,00%",1
16775,"77,30%",2,"73,00%",1
16776,"82,50%",0,"34,00%",0
16777,"5,40%",0,"1,00%",0
16778,"26,20%",1,"46,00%",1
16779,"30,70%",1,"10,00%",0
16780,"11,20%",0,"43,00%",0
16781,"27,40%",1,"21,00%",0
16782,"75,30%",0,"17,00%",0
16783,"31,80%",0,"43,00%",0
16784,"70,20%",0,"38,00%",0
16785,"16,30%",2,"25,00%",1
16786,"1,50%",0,"13,00%",0
16787,"13,40%",0,"41,00%",0
16788,"30,10%",0,"33,00%",0
16789,"86,50%",3,"26,00%",1
16790,"46,80%",0,"57,00%",0
